扰动类型,扰动幅度_百分比,样本序号,重优化成本_元,成本变化率_百分比,同情景无储能成本_元,同情景节费率_百分比,购电总量变化率_百分比,电池调度相对变化_百分比,全冻结缺电量_千瓦时,全冻结富余量_千瓦时,固定电池可行,固定电池补救成本_元,固定电池后悔率_百分比,固定电池不可吸收电量_千瓦时,独立回代最大违反量_千瓦时
逐时段独立,10.0,78,35484.75428693789,1.0186073710242358,48118.781062828966,26.255916082734426,1.3047969773839485,8.304113579676512,3199.9856124491034,2471.5377488247714,False,,,176.8582948252498,9.094947017729282e-13
逐时段独立,10.0,79,35558.93579211396,1.2297885528066226,48123.583319670404,26.109127086595553,2.1888981246241945,13.23934492700002,4120.548751626886,2871.6398652107355,False,,,413.84101217134855,9.094947017729282e-13
逐时段独立,10.0,80,35333.981543773516,0.5893849387420832,48664.09632592973,27.392093532112945,1.1064848383690595,11.837764712911662,3685.469562623402,3195.6455639139817,False,,,202.91541661921593,9.549694368615746e-12
逐时段独立,10.0,81,35169.83095633064,0.1220782298234602,48010.55452602216,26.745626449141998,0.8982152508908436,9.758876013754744,3627.5897911343745,3121.7452028006073,False,,,304.3603289618553,8.526512829121202e-13
逐时段独立,10.0,82,35755.02717116168,1.7880248553236202,48688.91142415556,26.564332359620416,1.3647092382421233,8.145958596375992,3492.935780065487,2717.429280007076,False,,,206.6042929661016,9.094947017729282e-13
逐时段独立,10.0,83,34985.4047884528,-0.4029493493770051,48219.81983671581,27.446006835110552,-1.0508170350615909,12.718382972985882,2786.41744119975,3459.4129254766663,False,,,79.69429087806725,1.8189894035458565e-12
逐时段独立,10.0,84,35369.71232014976,0.6911039260183259,48561.61799591642,27.16529271507382,0.37739188004415336,10.391595318107228,3287.187945582015,3141.573732963683,False,,,116.42425943501785,1.8189894035458565e-12
逐时段独立,10.0,85,35424.530396178445,0.8471609654555449,48971.78191307968,27.66338284554631,0.5340836972804741,10.638081234404178,3091.0687605879493,2989.74781365642,False,,,132.39444828899693,1.8189894035458565e-12
逐时段独立,10.0,86,35126.19823134059,-0.0021361603525541,48106.80221163507,26.982886792577126,-0.3300955482131829,12.176266408309333,3168.600379035016,3339.892796353516,False,,,76.00320862325711,7.048583938740194e-12
逐时段独立,10.0,87,35371.84470197407,0.6971744271843566,48378.169154827,26.88469754038885,0.10260993372046556,12.853940355860045,3438.2411077260504,3350.331592200171,False,,,157.89455235119698,2.2737367544323206e-12
逐时段独立,10.0,88,34967.65235634241,-0.4534872777148616,47597.66168101102,26.53493654648863,-0.36313599395331186,7.892000274395465,2812.2142196527443,2956.0664006112065,False,,,229.81469625363584,1.3642420526593924e-12
逐时段独立,10.0,89,34551.00088703389,-1.639617829677878,47595.86251834473,27.407553810550223,-1.1012944963897486,9.932628627578902,2858.900959660238,3506.0333069404073,False,,,251.86079950609818,1.0459189070388675e-11
